Date ,Volume
"April 21, 2023",302.47
"April 22, 2023",281.493
"April 23, 2023",277.055
"April 24, 2023",281.919
"April 25, 2023",281.187
"April 26, 2023",286.046
"April 27, 2023",286.514
"April 28, 2023",294.058
"April 29, 2023",309.85
"April 30, 2023",296.434
"May 1, 2023",310.569
"May 2, 2023",309.652
"May 3, 2023",309.121
"May 4, 2023",302.783
"May 5, 2023",312.748
"May 6, 2023",319.678
"May 7, 2023",309.433
"May 8, 2023",310.363
"May 9, 2023",311.973
"May 10, 2023",313.276
"May 11, 2023",308.546
"May 12, 2023",309.381
"May 13, 2023",309.549
"May 14, 2023",306.202
"May 15, 2023",309.112
"May 16, 2023",303.065
"May 17, 2023",297.902
"May 18, 2023",301.226
"May 19, 2023",301.285
"May 20, 2023",310.532
"May 21, 2023",289.762
"May 22, 2023",290.415
"May 23, 2023",295.697
"May 24, 2023",299.017
"May 25, 2023",289.903
"May 26, 2023",300.219
"May 27, 2023",291.671
"May 28, 2023",297.083
"May 29, 2023",293.376
"May 30, 2023",288.986
"May 31, 2023",312.66
"June 1, 2023",325.617
"June 2, 2023",326.264
"June 3, 2023",323.211
"June 4, 2023",311.987
"June 5, 2023",321.195
"June 6, 2023",315.727
"June 7, 2023",326.002
"June 8, 2023",317.807
"June 9, 2023",319.367
"June 10, 2023",322.953
"June 11, 2023",311.614
"June 12, 2023",314.643
"June 13, 2023",312.412
"June 14, 2023",314.038
"June 15, 2023",310.801
"June 16, 2023",311.926
"June 17, 2023",312.082
"June 18, 2023",301.349
"June 19, 2023",309.947
"June 20, 2023",307.4
"June 21, 2023",307.131
"June 22, 2023",304.504
"June 23, 2023",302.343
"June 24, 2023",300.631
"June 25, 2023",294.734
"June 26, 2023",302.221
"June 27, 2023",299.957
"June 28, 2023",313.701
"June 29, 2023",280.597
"June 30, 2023",312.903
"July 1, 2023",339.543
"July 2, 2023",329.224
"July 3, 2023",328.963
"July 4, 2023",330.441
"July 5, 2023",331.282
"July 6, 2023",325.693
"July 7, 2023",329.822
"July 8, 2023",326.478
"July 9, 2023",319.543
"July 10, 2023",331.795
"July 11, 2023",326.674
"July 12, 2023",331.467
"July 13, 2023",323.753
"July 14, 2023",322.596
"July 15, 2023",317.555
"July 16, 2023",320.867
"July 17, 2023",317.026
"July 18, 2023",311.713
"July 19, 2023",315.442
"July 20, 2023",315.375
"July 21, 2023",315.282
"July 22, 2023",313.692
"July 23, 2023",309.314
"July 24, 2023",311.005
"July 25, 2023",307.947
"July 26, 2023",310.765
"July 27, 2023",314.061
"July 28, 2023",315.233
"July 29, 2023",316.706
"July 30, 2023",317.21
"July 31, 2023",337.789
"August 1, 2023",355.248
"August 2, 2023",345.688
"August 3, 2023",348.569
